"","nameList","rating"
"2754","Novak Djokovic",4.503
"3300","Karen Khachanov",4.412
"2892","Marin Cilic",4.39
"3017","Kevin Anderson",4.342
"2607","Rafael Nadal",4.279
"2347","Roger Federer",4.233
"1961","Javier Molina",4.188
"3453","Daniil Medvedev",4.154
"3286","Kyle Edmund",4.066
"2005","Patrick Rafter",4.043
"2888","Juan Martin Del Potro",4.031
"2759","Gael Monfils",4.022
"401","Raul Ramirez",4.021
"2561","Robin Soderling",4.001
"3199","Dominic Thiem",3.995
"2358","Paul Goldstein",3.98
"1008","Alexander Zverev",3.935
"3346","Borna Coric",3.92
"2160","Maxime Huard",3.917
"2830","Gilles Simon",3.896
"2896","Sam Querrey",3.88
"3193","David Goffin",3.879
"2608","Fernando Verdasco",3.869
"2067","Tim Henman",3.863
"2584","Yen Hsun Lu",3.855
"2970","Martin Klizan",3.838
"2313","Filip Aniola",3.836
"1616","Pete Sampras",3.824
"2910","Dominik Meffert",3.817
"2922","Ernests Gulbis",3.812
"1571","Jason Stoltenberg",3.8
"3088","Marius Copil",3.795
"2692","Stanislas Wawrinka",3.794
"3125","Tobias Kamke",3.793
"1609","Francisco Clavet",3.79
"1811","Joseph Russell",3.785
"1656","Magnus Larsson",3.776
"1844","Richard Krajicek",3.772
"2774","Ivo Minar",3.764
"3364","Hyeon Chung",3.758
"1861","Thomas Enqvist",3.755
"2620","Richard Gasquet",3.751
"3517","Stefanos Tsitsipas",3.745
"2188","Tommi Lenho",3.745
"1816","Todd Martin",3.733
"2827","Andy Murray",3.729
"3190","Jack Sock",3.723
"1266","Stefan Edberg",3.717
"2540","David Nalbandian",3.715
"3401","Taylor Harry Fritz",3.711
"2475","Juan Ignacio Chela",3.71
"3398","Yoshihito Nishioka",3.704
"899","Heinz Gildemeister",3.7
"3441","Matthew Barton",3.698
"3580","Chun Hsin Tseng",3.697
"3188","Rogerio Dutra Silva",3.694
"3305","Lucas Pouille",3.691
"695","Gene Mayer",3.685
"3091","Juan Sebastian Cabal",3.684
"3288","Jan Lennard Struff",3.677
"2549","Jose Acasuso",3.665
"3253","Dennis Novikov",3.658
"2341","Lleyton Hewitt",3.656
"3139","Milos Raonic",3.654
"3130","Benoit Paire",3.651
"3330","Egor Gerasimov",3.65
"3040","Ryan Harrison",3.643
"2960","John Isner",3.641
"2920","Andrea Stoppini",3.64
"3246","Sergio Gutierrez Ferrol",3.636
"1350","Darren Cahill",3.634
"3293","Diego Sebastian Schwartzman",3.633
"2923","James Auckland",3.631
