"","nameList","rating"
"2786","Novak Djokovic",5.0396
"2611","Robin Soderling",4.7484
"2831","Gael Monfils",4.443
"2409","Roger Federer",4.3861
"1623","Pete Sampras",4.3232
"2639","Rafael Nadal",4.3096
"3479","Daniil Medvedev",4.1534
"3542","Stefanos Tsitsipas",4.1314
"3324","Nick Kyrgios",4.0948
"2897","Juan Martin Del Potro",4.0921
"2049","Patrick Rafter",4.0801
"3051","Mikhail Kukushkin",4.0239
"3291","John Millman",4.0119
"3093","Ricardas Berankis",3.9812
"2898","Marin Cilic",3.9749
"3011","John Isner",3.9699
"2824","Jo Wilfried Tsonga",3.9642
"3243","Daniel Evans",3.9557
"2728","Stanislas Wawrinka",3.9512
"3594","Ugo Humbert",3.9298
"2311","Filip Aniola",3.9294
"3036","Kevin Anderson",3.9252
"3008","Kei Nishikori",3.9251
"3312","Guido Pella",3.9246
"1745","Michael Stich",3.924
"3197","Marton Fucsovics",3.9229
"3493","Reilly Opelka",3.9192
"1966","Javier Molina",3.9111
"3264","Roberto Bautista Agut",3.9087
"3384","Alexander Zverev",3.9045
"3191","David Goffin",3.8905
"2494","Andy Roddick",3.8898
"3113","Radu Albot",3.8863
"2496","Mardy Fish",3.8724
"2347","Marat Safin",3.8665
"2198","Tommi Lenho",3.8601
"3432","Daniel Elahi Galan Riveros",3.857
"3338","Pierre Hugues Herbert",3.8416
"774","John Mcenroe",3.8377
"3186","Milos Raonic",3.8296
"3472","Marco Cecchinato",3.8217
"2928","Jeremy Chardy",3.8124
"3458","Casper Ruud",3.7944
"2769","Jan Hernych",3.7943
"3392","Nikoloz Basilashvili",3.7911
"1333","Boris Becker",3.7793
"2753","Pablo Cuevas",3.7785
"2549","David Nalbandian",3.771
"3033","Eduardo Schwank",3.7657
"3530","Cameron Norrie",3.7641
"2919","Sam Querrey",3.7633
"2137","Mark Philippoussis",3.7523
"3086","Grigor Dimitrov",3.7503
"2562","Yen Hsun Lu",3.7495
"1654","Magnus Larsson",3.7483
"3492","Denis Shapovalov",3.7448
"3162","Tobias Kamke",3.7435
"1828","Joseph Russell",3.7375
"3273","Sergio Gutierrez Ferrol",3.734
"3230","Pierre Ludovic Duclos",3.7298
"2211","Maxime Huard",3.7273
"2865","Andy Murray",3.7268
"2671","Fernando Verdasco",3.7101
"2845","Ryan Sweeting",3.7063
"3326","Kyle Edmund",3.7063
"760","Konstantin Pugaev",3.7
"3117","Henri Laaksonen",3.6973
"3471","Hubert Hurkacz",3.6905
"3295","Yasutaka Uchiyama",3.6865
"2478","Jurgen Melzer",3.6851
"2735","Tomas Berdych",3.684
"2339","Lleyton Hewitt",3.682
"2102","Tim Henman",3.6738
"468","Greg Osborne",3.6716
"3523","Laslo Djere",3.6703
"3323","Lucas Pouille",3.6702
"3502","Alex De Minaur",3.6684
"1600","Magnus Gustafsson",3.6667
"2720","Chris Guccione",3.6664
"3088","Juan Sebastian Cabal",3.6629
"3416","Taylor Harry Fritz",3.6628
"3077","Adrian Mannarino",3.662
"3571","Felix Auger Aliassime",3.659
"2302","Rainer Schuettler",3.6554
"3122","Jesse Witten",3.6551
"3063","Jerzy Janowicz",3.6531
"3100","Guillaume Rufin",3.6448
"3212","Vasek Pospisil",3.6443
"2996","Matthias Bachinger",3.6427
"3081","Bernard Tomic",3.6401
"2460","James Blake",3.6398
"3149","Aljaz Bedene",3.6344
"2411","Raemon Sluiter",3.6299
"2952","Andrea Stoppini",3.6289
"2566","Jose Acasuso",3.6277
"3217","Bruno Abdel Nour",3.6271
"1752","Paul Haarhuis",3.6259
"2146","Franco Squillari",3.6256
"411","Raul Ramirez",3.6255
"3327","Jan Lennard Struff",3.6237
"3446","Matthew Barton",3.6231
"1535","Pieter Aldrich",3.6226
"2282","Arnaud Clement",3.6193
"3282","Dennis Novikov",3.6184
"2402","Taylor Dent",3.6165
"3497","Kamil Majchrzak",3.6165
"3541","Yannick Maden",3.614
"1532","Javier Frana",3.6126
"3157","Albert Ramos",3.6063
"3582","Alexey Vatutin",3.6061
